آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,FOMC,Neutral,49,33,16,67.3,32.7,2.06,2018-02-01_2018-02-15|2018-05-03_2018-05-17|2018-06-14_2018-06-28|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2018-11-09_2018-11-23|2019-01-31_2019-02-14|2019-03-21_2019-04-04|2019-06-20_2019-07-04|2019-08-01_2019-08-15|2019-09-19_2019-10-03|2020-01-30_2020-02-13|2020-04-30_2020-05-14|2020-06-11_2020-06-25|2020-07-30_2020-08-13|2020-09-17_2020-10-01|2020-11-06_2020-11-20|2021-03-18_2021-04-01|2021-04-29_2021-05-13|2021-09-23_2021-10-07|2021-11-04_2021-11-18|2022-01-27_2022-02-10|2022-03-17_2022-03-31|2022-05-05_2022-05-19|2022-11-03_2022-11-17|2023-02-02_2023-02-16|2023-03-23_2023-04-06|2023-05-04_2023-05-18|2023-06-15_2023-06-29|2023-11-02_2023-11-16|2023-12-14_2023-12-28|2024-03-21_2024-04-04|2024-05-02_2024-05-16|2024-06-13_2024-06-27|2024-08-01_2024-08-15|2024-09-19_2024-10-03|2024-11-08_2024-11-22|2024-12-19_2025-01-02|2025-03-20_2025-04-03|2025-05-08_2025-05-22|2025-06-19_2025-07-03|2025-09-18_2025-10-02|2025-12-11_2025-12-25|2026-01-29_2026-02-12|2026-03-19_2026-04-02|2021-06-17_2021-07-01|2021-12-16_2021-12-30|2022-07-28_2022-08-11|2023-07-27_2023-08-10
0.1,1,FOMC,Neutral,49,33,16,67.3,32.7,2.06,2018-02-01_2018-02-15|2018-05-03_2018-05-17|2018-06-14_2018-06-28|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2018-11-09_2018-11-23|2019-01-31_2019-02-14|2019-03-21_2019-04-04|2019-06-20_2019-07-04|2019-08-01_2019-08-15|2019-09-19_2019-10-03|2020-01-30_2020-02-13|2020-04-30_2020-05-14|2020-06-11_2020-06-25|2020-07-30_2020-08-13|2020-09-17_2020-10-01|2020-11-06_2020-11-20|2021-03-18_2021-04-01|2021-04-29_2021-05-13|2021-09-23_2021-10-07|2021-11-04_2021-11-18|2022-01-27_2022-02-10|2022-03-17_2022-03-31|2022-05-05_2022-05-19|2022-11-03_2022-11-17|2023-02-02_2023-02-16|2023-03-23_2023-04-06|2023-05-04_2023-05-18|2023-06-15_2023-06-29|2023-11-02_2023-11-16|2023-12-14_2023-12-28|2024-03-21_2024-04-04|2024-05-02_2024-05-16|2024-06-13_2024-06-27|2024-08-01_2024-08-15|2024-09-19_2024-10-03|2024-11-08_2024-11-22|2024-12-19_2025-01-02|2025-03-20_2025-04-03|2025-05-08_2025-05-22|2025-06-19_2025-07-03|2025-09-18_2025-10-02|2025-12-11_2025-12-25|2026-01-29_2026-02-12|2026-03-19_2026-04-02|2021-06-17_2021-07-01|2021-12-16_2021-12-30|2022-07-28_2022-08-11|2023-07-27_2023-08-10
0.2,1,FOMC,Neutral,49,33,16,67.3,32.7,2.06,2018-02-01_2018-02-15|2018-05-03_2018-05-17|2018-06-14_2018-06-28|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2018-11-09_2018-11-23|2019-01-31_2019-02-14|2019-03-21_2019-04-04|2019-06-20_2019-07-04|2019-08-01_2019-08-15|2019-09-19_2019-10-03|2020-01-30_2020-02-13|2020-04-30_2020-05-14|2020-06-11_2020-06-25|2020-07-30_2020-08-13|2020-09-17_2020-10-01|2020-11-06_2020-11-20|2021-03-18_2021-04-01|2021-04-29_2021-05-13|2021-09-23_2021-10-07|2021-11-04_2021-11-18|2022-01-27_2022-02-10|2022-03-17_2022-03-31|2022-05-05_2022-05-19|2022-11-03_2022-11-17|2023-02-02_2023-02-16|2023-03-23_2023-04-06|2023-05-04_2023-05-18|2023-06-15_2023-06-29|2023-11-02_2023-11-16|2023-12-14_2023-12-28|2024-03-21_2024-04-04|2024-05-02_2024-05-16|2024-06-13_2024-06-27|2024-08-01_2024-08-15|2024-09-19_2024-10-03|2024-11-08_2024-11-22|2024-12-19_2025-01-02|2025-03-20_2025-04-03|2025-05-08_2025-05-22|2025-06-19_2025-07-03|2025-09-18_2025-10-02|2025-12-11_2025-12-25|2026-01-29_2026-02-12|2026-03-19_2026-04-02|2021-06-17_2021-07-01|2021-12-16_2021-12-30|2022-07-28_2022-08-11|2023-07-27_2023-08-10
0.3,1,FOMC,Neutral,49,33,16,67.3,32.7,2.06,2018-02-01_2018-02-15|2018-05-03_2018-05-17|2018-06-14_2018-06-28|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2018-11-09_2018-11-23|2019-01-31_2019-02-14|2019-03-21_2019-04-04|2019-06-20_2019-07-04|2019-08-01_2019-08-15|2019-09-19_2019-10-03|2020-01-30_2020-02-13|2020-04-30_2020-05-14|2020-06-11_2020-06-25|2020-07-30_2020-08-13|2020-09-17_2020-10-01|2020-11-06_2020-11-20|2021-03-18_2021-04-01|2021-04-29_2021-05-13|2021-09-23_2021-10-07|2021-11-04_2021-11-18|2022-01-27_2022-02-10|2022-03-17_2022-03-31|2022-05-05_2022-05-19|2022-11-03_2022-11-17|2023-02-02_2023-02-16|2023-03-23_2023-04-06|2023-05-04_2023-05-18|2023-06-15_2023-06-29|2023-11-02_2023-11-16|2023-12-14_2023-12-28|2024-03-21_2024-04-04|2024-05-02_2024-05-16|2024-06-13_2024-06-27|2024-08-01_2024-08-15|2024-09-19_2024-10-03|2024-11-08_2024-11-22|2024-12-19_2025-01-02|2025-03-20_2025-04-03|2025-05-08_2025-05-22|2025-06-19_2025-07-03|2025-09-18_2025-10-02|2025-12-11_2025-12-25|2026-01-29_2026-02-12|2026-03-19_2026-04-02|2021-06-17_2021-07-01|2021-12-16_2021-12-30|2022-07-28_2022-08-11|2023-07-27_2023-08-10
